Run,Execution Time (seconds)
1,0.015238046646118164
2,0.013471364974975586
3,0.016649246215820312
4,0.012624740600585938
5,0.01592087745666504
6,0.013591527938842773
7,0.01584005355834961
8,0.01707911491394043
9,0.015604734420776367
10,0.01880621910095215
11,0.017580747604370117
12,0.014721155166625977
13,0.014702081680297852
14,0.016979455947875977
15,0.014042139053344727
16,0.014994144439697266
17,0.01640033721923828
18,0.015487432479858398
19,0.015407800674438477
20,0.01650214195251465
21,0.017682552337646484
22,0.01423954963684082
23,0.014090776443481445
24,0.015550851821899414
25,0.01605963706970215
26,0.014719486236572266
27,0.015728473663330078
28,0.018034934997558594
29,0.018453359603881836
30,0.017621755599975586
31,0.018891572952270508
32,0.01681971549987793
33,0.01725602149963379
34,0.01457667350769043
35,0.01709723472595215
36,0.018558502197265625
37,0.02339649200439453
38,0.02046489715576172
39,0.016558408737182617
40,0.018006086349487305
41,0.019910335540771484
42,0.01831197738647461
43,0.017529010772705078
44,0.018194913864135742
45,0.01656818389892578
46,0.016677379608154297
47,0.016628026962280273
48,0.0163576602935791
49,0.017547607421875
50,0.017513036727905273
51,0.01581573486328125
52,0.01629638671875
53,0.016701221466064453
54,0.016739845275878906
55,0.017874956130981445
56,0.01596665382385254
57,0.017077207565307617
58,0.01889967918395996
59,0.020841360092163086
60,0.019153118133544922
61,0.019694089889526367
62,0.01663041114807129
63,0.016547679901123047
64,0.016671419143676758
65,0.01746368408203125
66,0.016932964324951172
67,0.017969369888305664
68,0.01990985870361328
69,0.01871180534362793
70,0.016411304473876953
71,0.01697254180908203
72,0.01901078224182129
73,0.021405458450317383
74,0.019400358200073242
75,0.015744924545288086
76,0.017019271850585938
77,0.01550602912902832
78,0.01662898063659668
79,0.015033721923828125
80,0.021249055862426758
81,0.02074718475341797
82,0.020753145217895508
83,0.02139139175415039
84,0.021659374237060547
85,0.0216367244720459
86,0.02087855339050293
87,0.02169966697692871
88,0.02108025550842285
89,0.021279335021972656
90,0.02399587631225586
91,0.02327442169189453
92,0.025366544723510742
93,0.021199464797973633
94,0.017554283142089844
95,0.017916440963745117
96,0.01706552505493164
97,0.017347097396850586
98,0.017312288284301758
99,0.017581462860107422
100,0.017432689666748047
101,0.01959371566772461
102,0.01824808120727539
103,0.02070164680480957
104,0.01902294158935547
105,0.018036603927612305
106,0.01871776580810547
107,0.019340038299560547
108,0.020612716674804688
109,0.019638776779174805
110,0.016231775283813477
111,0.01778388023376465
112,0.016387462615966797
113,0.019448280334472656
114,0.017920970916748047
115,0.01671767234802246
116,0.0169522762298584
117,0.017902851104736328
118,0.018168210983276367
119,0.0173032283782959
120,0.018500089645385742
121,0.02082204818725586
122,0.018852949142456055
123,0.017205476760864258
124,0.018398284912109375
125,0.018982410430908203
126,0.016994953155517578
127,0.017345428466796875
128,0.017940998077392578
129,0.016886472702026367
130,0.018404006958007812
131,0.019113540649414062
132,0.01822638511657715
133,0.01649785041809082
134,0.017295122146606445
135,0.01880359649658203
136,0.018949270248413086
137,0.02191329002380371
138,0.01902627944946289
139,0.017785310745239258
140,0.016798973083496094
141,0.016559600830078125
142,0.01907515525817871
143,0.01930069923400879
144,0.018426895141601562
145,0.02077937126159668
146,0.020726680755615234
147,0.01952815055847168
148,0.01771259307861328
149,0.019461631774902344
150,0.018663406372070312
151,0.017403841018676758
152,0.021539926528930664
153,0.01799774169921875
154,0.016167163848876953
155,0.0176239013671875
156,0.016245603561401367
157,0.01593160629272461
158,0.018896818161010742
159,0.01749277114868164
160,0.017328977584838867
161,0.024208784103393555
162,0.021327733993530273
163,0.020920991897583008
164,0.021129131317138672
165,0.0204012393951416
166,0.02188706398010254
167,0.019323348999023438
168,0.022496700286865234
169,0.020386219024658203
170,0.01920151710510254
171,0.020319461822509766
172,0.019812583923339844
173,0.022429704666137695
174,0.020726919174194336
175,0.019306182861328125
176,0.0198366641998291
177,0.01963186264038086
178,0.02130889892578125
179,0.021574020385742188
180,0.01865673065185547
181,0.026109933853149414
182,0.021868228912353516
183,0.019547700881958008
184,0.02070474624633789
185,0.023161888122558594
186,0.01709127426147461
187,0.023015737533569336
188,0.026449918746948242
189,0.019200563430786133
190,0.018984079360961914
191,0.01914525032043457
192,0.022780418395996094
193,0.020465373992919922
194,0.026270389556884766
